ID,Smiles,Erythrocyte-3D7 (IC50 - uM),Erythrocyte-3D7 pIC50
MMV1900930,Nc(cnc1N2CCN(c3c(C)cccc3)CC2)cn1,25,4.602059991
MMV1900956,C1CC(CCN1c2ncc(cc2Cl)C(Nc3cccc(Cl)c3)=O)N4CCCCC4,1.25,5.903089987
MMV1899843,C1CNCCC1NC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,15.75,4.802719442
MMV1899844,C1OCCC[C@@H]1NC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,25,4.602059991
MMV1899845,c1c(N(CC2)CCN2c(c(cc(c3)C(=O)NCC4CN(CCC4)C)Cl)n3)ccnc1,1.98,5.70333481
MMV1899847,CC(C1CCC(NC(c2cnc(N3CCN(c4ccncc4)CC3)c(Cl)c2)=O)CC1)(C)C,0.927,6.032920266
MMV1899848,O=C(c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1)NCc4cccc(C#N)c4,0.998,6.000869459
MMV1899849,O[C@@H]1CC[C@H](NC(c2cnc(N3CCN(c4ccncc4)CC3)c(Cl)c2)=O)C1,25,4.602059991
MMV1899850,c1nc(c(cc1C(NC2CC(C)CCC2)=O)Cl)N3CCN(c4ccncc4)CC3,2.02,5.694648631
MMV1900035,c1cnccc1N(CCC2Oc(ncc3C(Nc4cccc(c4)Cl)=O)c(c3)Cl)CC2,0.9,6.045757491
MMV1900036,c1nc(c(cc1C(Nc2n(C)nc(C)c2)=O)Cl)N3CCN(c4ccncc4)CC3,15.35,4.81389162
MMV1900037,c1nc(N2CCN(c3ccncc3)CC2)c(Cl)cc1C(NCCc4ccncc4)=O,11.65,4.933674075
MMV1900038,c1(C(=O)Nc2cc(S(C)(=O)=O)ccc2)cc(Cl)c(N3CCN(c4ccncc4)CC3)nc1,2.12,5.673664139
MMV1900087,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(NC3CCN(c4ccncc4)CC3)nc1,0.543,6.26520017
MMV1900089,c1(C(=O)Nc2cc(Cl)ccc2)cc(Cl)c(N3CC4(CN(c5ccncc5)C4)C3)nc1,0.41,6.387216143
MMV1901019,Clc1cc(NC(=O)c2cc(Cl)c(N3CCN(S(=O)(c4ccc([N+](=O)[O-])cc4)=O)CC3)nc2)ccc1,4.25,5.37161107
MMV1991890,n1cc(C(=O)Nc2cc(Cl)ccc2)cnc1Nc3cc(C)ncc3,0.446,6.350665141
MMV1991823,c(c1C(F)(F)F)c(Nc(c2Cl)ncc(C(Nc3cccc(Cl)c3)=O)c2)ccn1,2.4,5.619788758
MMV1901020,Clc1cc(NC(=O)c2cc(Cl)c(N3CCN(S(=O)(c4ccccc4)=O)CC3)nc2)ccc1,9.38,5.027797162
MMV1991822,c1nnccc1Nc(c2Cl)ncc(C(Nc3cccc(Cl)c3)=O)c2,3.33,5.477555766
MMV1901021,Clc1cc(NC(=O)c2cc(Cl)c(N3CCN(S(=O)(c4ccc(F)cc4)=O)CC3)nc2)ccc1,8.89,5.051098239
MMV1901022,Clc1cc(NC(=O)c2cc(Cl)c(N3CCCN(S(=O)(c4ccc([N+](=O)[O-])cc4)=O)CC3)nc2)ccc1,4.23,5.373659633
MMV1901224,COC(c(cnc1OC2CCN(c3c(C)cccc3)CC2)cn1)=O,25,4.602059991
MMV1901389,C1CC(CCN1c(c2Cl)ncc(C(Nc3cccc(Cl)c3)=O)c2)N4CCNCC4,2.13,5.671620397
MMV1901435,C1CN(CCN1c(ccn2)cc2)c3ncc(cc3)S(=O)(=O)Nc4cccc(c4)Cl,2.03,5.692503962
MMV1991821,c1c(nccc1Nc(c2Cl)ncc(C(Nc3cc(cc(F)c3)F)=O)c2)C,0.244,6.612610174
MMV1991738,n1cnccc1Nc(c2Cl)ncc(C(Nc3cccc(Cl)c3)=O)c2,17.25,4.763210901
MMV1991737,n1ccccc1Nc(c2Cl)ncc(C(Nc3cccc(Cl)c3)=O)c2,20.9,4.679853714
MMV1991337,Clc(cccc1NC(c(cc2Cl)cnc2OCCCN)=O)c1,23.8,4.623423043
MMV740950,CN(CC(N1CCN(c2c(Cl)cc(C(N)=O)cn2)CC1)=O)C,25,4.602059991
MMV1900987,CN1CCN(c2ccc(CNC(N3CCN(c4cccc(Cl)c4)CC3)=O)cn2)CC1,25,4.602059991
MMV1900988,CC(C(Nc1ccc(C(N)=O)cc1)=O)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2,25,4.602059991
MMV1900989,CN(c1ccc(CNc2ncc(C(N)=O)cc2Cl)cn1)C,25,4.602059991
MMV944483,NC(c1cc(Cl)c(NCC(NCc2ccccc2)=O)nc1)=O,25,4.602059991
MMV1900990,O=C(c1ccc(NC2CC2)nc1)N3CCN(c4ccncc4)CC3,25,4.602059991
MMV692137,c1(ccncc1)N2CCN(CC2)c3ccc(C(Nc4cccc(Cl)c4)=O)cc3Cl,0.556,6.254925208
MMV024406,c1cc(Cl)cc(NC(c2cnc(N3CCN(c4ccncc4)CC3)c(Cl)c2)=O)c1,0.419,6.377785977
MMV690906,c1cc(C(Nc2cccc(Cl)c2)=O)ccc1N3CCN(c4ccncc4)CC3,0.592,6.227678293
MMV690872,c1nc(C(Nc2cccc(Cl)c2)=O)cnc1N3CCN(c4ccncc4)CC3,0.769,6.11407366
